DEXPDF;"KOPF / Beteiligten-Konstellation";Prüfung;"Die Verwendung eines der Werte „••01“ [Anmelder lässt sich nicht direkt vertreten • Ausführer beauftragt Subunternehmer], „••10“ [Anmelder lässt sich direkt vertreten • Ausführer beauftragt keinen Subunternehmer] und „••11“ [Anmelder lässt sich direkt vertreten • Ausführer beauftragt Subunternehmer] ist unzulässig, wenn das Datenfeld „Art der Ausfuhranmeldung“ mit dem Wert „20000000“ [Monatliche Sammelanmeldung zum Vereinfachten Verfahren unter Verwendung einer Bewilligung EIR-Ausfuhr] angegeben wird."
DEXPDF;"KOPF / Beteiligten-Konstellation";Prüfung;"Die Verwendung eines der Werte „•••1“ [Ausführer beauftragt Subunternehmer] ist unzulässig, wenn das Datenfeld „Art der Ausfuhranmeldung“ mit einem der Werte „••111•••“ [Vereinfachtes Verfahren SDE-PV] oder „•••••9••“ [Einstufiges Verfahren] angegeben wird."
DEXPDF;"KOPF / Beteiligten-Konstellation";Aufbau;"Zum Verständnis verschiedener Abhängigkeiten innerhalb der Nachricht wird im Folgenden die Systematik und der Inhalt der Codeliste dargestellt.
1••• Außenwirtschaftsrechtlicher Ausführer ist nicht (zollrechtlicher) Ausführer
•1•• Ausführer lässt sich indirekt vertreten
••1• Anmelder lässt sich direkt vertreten
•••1 Ausführer beauftragt Subunternehmer"
DEXPDF;"KOPF / Beteiligten-Konstellation";Aufbau;"Im einzelnen:
0000 Außenwirtschaftsrechtlicher Ausführer ist (zollrechtlicher) Ausführer. Anmelder ist Ausführer. Anmelder lässt sich nicht direkt vertreten. Ausführer beauftragt keinen Subunternehmer.
0001 Außenwirtschaftsrechtlicher Ausführer ist (zollrechtlicher) Ausführer. Anmelder ist Ausführer. Anmelder lässt sich nicht direkt vertreten. Ausführer beauftragt Subunternehmer.
0010 Außenwirtschaftsrechtlicher Ausführer ist (zollrechtlicher) Ausführer. Anmelder ist Ausführer. Anmelder lässt sich direkt vertreten. Ausführer beauftragt keinen Subunternehmer.
0011 Außenwirtschaftsrechtlicher Ausführer ist (zollrechtlicher) Ausführer. Anmelder ist Ausführer. Anmelder lässt sich direkt vertreten. Ausführer beauftragt Subunternehmer.
0100 Außenwirtschaftsrechtlicher Ausführer ist (zollrechtlicher) Ausführer. Ausführer lässt sich indirekt vertreten. Anmelder lässt sich nicht direkt vertreten. Ausführer beauftragt keinen Subunternehmer.
0101 Außenwirtschaftsrechtlicher Ausführer ist (zollrechtlicher) Ausführer. Ausführer lässt sich indirekt vertreten. Anmelder lässt sich nicht direkt vertreten. Ausführer beauftragt Subunternehmer.
0110 Außenwirtschaftsrechtlicher Ausführer ist (zollrechtlicher) Ausführer. Ausführer lässt sich indirekt vertreten. Anmelder lässt sich direkt vertreten. Ausführer beauftragt keinen Subunternehmer.
0111 Außenwirtschaftsrechtlicher Ausführer ist (zollrechtlicher) Ausführer. Ausführer lässt sich indirekt vertreten. Anmelder lässt sich direkt vertreten. Ausführer beauftragt Subunternehmer.
1000 Außenwirtschaftsrechtlicher Ausführer ist nicht (zollrechtlicher) Ausführer. Anmelder ist Ausführer. Anmelder lässt sich nicht direkt vertreten. Ausführer beauftragt keinen Subunternehmer.
1010 Außenwirtschaftsrechtlicher Ausführer ist nicht (zollrechtlicher) Ausführer. Anmelder ist Ausführer. Anmelder lässt sich direkt vertreten. Ausführer beauftragt keinen Subunternehmer.
1100 Außenwirtschaftsrechtlicher Ausführer ist nicht (zollrechtlicher) Ausführer. Ausführer lässt sich indirekt vertreten. Anmelder lässt sich nicht direkt vertreten. Ausführer beauftragt keinen Subunternehmer.
1110 Außenwirtschaftsrechtlicher Ausführer ist nicht (zollrechtlicher) Ausführer. Ausführer lässt sich indirekt vertreten. Anmelder lässt sich direkt vertreten. Ausführer beauftragt keinen Subunternehmer."
DEXPDF;"KOPF / Beteiligten-Konstellation";Prüfmuster;"[0-9]{4}"
DEXPDF;"KOPF / Zeitpunkt der Anmeldung";Beschränkung;"01.01.2000 00:00:00 - 31.12.2099 23:59:59"
DEXPDF;"KOPF / Zeitpunkt der Anmeldung";Aufbau;"n2 Jahrhundert (20)
n2 Jahr (00-99)
  Trennzeichen („-“)
n2 Monat (01-12)
  Trennzeichen („-“)
n2 Tag (01-31)
  Trennzeichen („T“)
n2 Stunde (00-23)
  Trennzeichen („:“)
n2 Minute (00-59)
  Trennzeichen („:“)
n2 Sekunde (00-59)"
DEXPDF;"KOPF / Zeitpunkt der Anmeldung";Prüfmuster;"(?!....-(02|04|06|09|11)-31|....-02-30|..(.[13579]|[02468][26]|[13579][048])-02-29)
(20[0-9][0-9])-(0[1-9]|1[0-2])-(0[1-9]|[12][0-9]|3[01])T([01][0-9]|2[0-3]):([0-5][0-9]):([0-5][0-9])"
DEXPDF;"KOPF / Maßgebliches Datum";Bedingung;"Die Angabe des Datenfeldes ist erforderlich und nur zulässig, wenn das Datenfeld „Art der Ausfuhranmeldung“ mit einem der Werte „1•••••••“ [Rückwirkende/nachträgliche Anmeldung] oder „20000000“ [Monatliche Sammelanmeldung zum Vereinfachten Verfahren unter Verwendung einer Bewilligung EIR-Ausfuhr] angegeben wird."
DEXPDF;"KOPF / Maßgebliches Datum";Prüfung;"Das Datum darf nicht in der Zukunft liegen."
DEXPDF;"KOPF / Maßgebliches Datum";Prüfung;"Das Datum muss in dem Vormonat zu dem Datenfeld „Zeitpunkt der Anmeldung“ liegen, wenn das Datenfeld „Art der Ausfuhranmeldung“ mit dem Wert „20000000“ [Monatliche Sammelanmeldung zum Vereinfachten Verfahren unter Verwendung einer Bewilligung EIR-Ausfuhr] angegeben wird."
DEXPDF;"KOPF / Maßgebliches Datum";Beschränkung;"01.01.2000 - 31.12.2099"
DEXPDF;"KOPF / Maßgebliches Datum";Aufbau;"n2 Jahrhundert (20)
n2 Jahr (00-99)
  Trennzeichen („-“)
n2 Monat (01-12)
  Trennzeichen („-“)
n2 Tag (01-31)"
DEXPDF;"KOPF / Maßgebliches Datum";Prüfmuster;"(?!....-(02|04|06|09|11)-31|....-02-30|..(.[13579]|[02468][26]|[13579][048])-02-29)
(20[0-9][0-9])-(0[1-9]|1[0-2])-(0[1-9]|[12][0-9]|3[01])"
DEXPDF;"KOPF / Datum des Ausgangs";Bedingung;"Die Angabe des Datenfeldes ist erforderlich und nur zulässig, wenn das Datenfeld „Art der Ausfuhranmeldung“ mit einem der Werte „1•••••••“ [Rückwirkende/nachträgliche Anmeldung] angegeben wird."
DEXPDF;"KOPF / Datum des Ausgangs";Prüfung;"Das Datum darf nicht in der Zukunft liegen."
DEXPDF;"KOPF / Datum des Ausgangs";Beschränkung;"01.01.2000 - 31.12.2099"
DEXPDF;"KOPF / Datum des Ausgangs";Aufbau;"n2 Jahrhundert (20)
n2 Jahr (00-99)
  Trennzeichen („-“)
n2 Monat (01-12)
  Trennzeichen („-“)
n2 Tag (01-31)"
DEXPDF;"KOPF / Datum des Ausgangs";Prüfmuster;"(?!....-(02|04|06|09|11)-31|....-02-30|..(.[13579]|[02468][26]|[13579][048])-02-29)
(20[0-9][0-9])-(0[1-9]|1[0-2])-(0[1-9]|[12][0-9]|3[01])"
DEXPDF;"KOPF / Zeitpunkt der Gestellung";Bedingung;"Die Angabe des Datenfeldes ist erforderlich und nur zulässig, wenn das Datenfeld „Art der Ausfuhranmeldung“ mit einem der Werte „•••••2••“ [Gestellung außerhalb des Amtsplatzes nach §12(4) AWV] angegeben wird."
DEXPDF;"KOPF / Zeitpunkt der Gestellung";Prüfung;"Der Zeitpunkt des Anfangs darf nicht in der Vergangenheit liegen."
DEXPDF;"KOPF / Zeitpunkt der Gestellung";Prüfung;"Der Zeitpunkt des Anfangs muss vor dem „Zeitpunkt des Endes der Ladetätigkeit“ liegen."
DEXPDF;"KOPF / Zeitpunkt der Gestellung";Beschränkung;"01.01.2000 00:00:00 - 31.12.2099 23:59:59"
DEXPDF;"KOPF / Zeitpunkt der Gestellung";Aufbau;"n2 Jahrhundert (20)
n2 Jahr (00-99)
  Trennzeichen („-“)
n2 Monat (01-12)
  Trennzeichen („-“)
n2 Tag (01-31)
  Trennzeichen („T“)
n2 Stunde (00-23)
  Trennzeichen („:“)
n2 Minute (00-59)
  Trennzeichen („:“)
n2 Sekunde (00-59)"
DEXPDF;"KOPF / Zeitpunkt der Gestellung";Prüfmuster;"(?!....-(02|04|06|09|11)-31|....-02-30|..(.[13579]|[02468][26]|[13579][048])-02-29)
(20[0-9][0-9])-(0[1-9]|1[0-2])-(0[1-9]|[12][0-9]|3[01])T([01][0-9]|2[0-3]):([0-5][0-9]):([0-5][0-9])"
DEXPDF;"KOPF / Zeitpunkt des Endes der Ladetätigkeit";Bedingung;"Die Angabe des Datenfeldes ist erforderlich und nur zulässig, wenn das Datenfeld „Art der Ausfuhranmeldung“ mit einem der Werte „•••••2••“ [Gestellung außerhalb des Amtsplatzes nach §12(4) AWV] angegeben wird."
DEXPDF;"KOPF / Zeitpunkt des Endes der Ladetätigkeit";Prüfung;"Der Zeitpunkt des Endes muss nach dem „Zeitpunkt der Gestellung“ liegen."
